index : 3941, hash : 15700424524235283941, depth : 6, score : 68
index : 2762, hash : 1783980623365492762, depth : 5, score : 353
index : 1443, hash : 1575402816262401443, depth : 4, score : 9994
index : 4252, hash : 5701682598566869252, depth : 3, score : 9996
index : 271, hash : 315422424461295271, depth : 2, score : 9998
index : 6, hash : 14380601993513420006, depth : 6, score : 195
index : 2070, hash : 16719704364516387070, depth : 6, score : 233
index : 388, hash : 6145358785706920388, depth : 7, score : 241
index : 3599, hash : 3312913771809338599, depth : 7, score : 383
index : 4414, hash : 11860355295423054414, depth : 6, score : 438
index : 1158, hash : 5847288949916781158, depth : 6, score : 439
index : 4489, hash : 4496290792446679489, depth : 6, score : 453
index : 861, hash : 17174079857184205861, depth : 7, score : 503
index : 239, hash : 4799307003776775239, depth : 6, score : 575
index : 115, hash : 17637779448777570115, depth : 6, score : 576
index : 4941, hash : 4490729000143219941, depth : 7, score : 637
index : 4865, hash : 15228854704076794865, depth : 6, score : 637
index : 1334, hash : 1695623134389856334, depth : 6, score : 776
index : 1373, hash : 6312325739163251373, depth : 7, score : 1031
index : 1832, hash : 17318511566059931832, depth : 7, score : 1130
index : 2012, hash : 13851966519261077012, depth : 7, score : 1255
index : 1951, hash : 2462541298066236951, depth : 7, score : 132
index : 3921, hash : 4332682082685493921, depth : 7, score : 158
index : 2159, hash : 9691674165512577159, depth : 6, score : 269
index : 3871, hash : 1416858193446753871, depth : 7, score : 269
index : 941, hash : 5343482505900180941, depth : 8, score : 261
index : 692, hash : 10419895289725870692, depth : 9, score : 299
index : 406, hash : 9143643104995135406, depth : 9, score : 387
index : 1032, hash : 9401195600509911032, depth : 9, score : 376
index : 1039, hash : 4356083898088171039, depth : 9, score : 394
index : 2912, hash : 15777519833896767912, depth : 9, score : 398
index : 1161, hash : 6911364050228771161, depth : 9, score : 405
index : 4627, hash : 17943605560671459627, depth : 8, score : 409
index : 974, hash : 7814228533360325974, depth : 8, score : 425
index : 188, hash : 8445980425570670188, depth : 9, score : 455
index : 4522, hash : 3694088261981969522, depth : 10, score : 547
index : 1157, hash : 7606148034174801157, depth : 10, score : 566
index : 3061, hash : 2438161459816233061, depth : 11, score : 638
index : 3806, hash : 17645428096096703806, depth : 10, score : 648
index : 2599, hash : 3100060013393927599, depth : 11, score : 752
index : 2081, hash : 13141845129191087081, depth : 10, score : 767
index : 2065, hash : 13818490075394967065, depth : 11, score : 1256
index : 158, hash : 15048283947458315158, depth : 11, score : 1359
index : 3496, hash : 6539433552298143496, depth : 11, score : 1388
index : 4375, hash : 7491891908625709375, depth : 5, score : 134
index : 2347, hash : 896710720861482347, depth : 7, score : 263
index : 2974, hash : 9940072885978667974, depth : 7, score : 300
index : 3744, hash : 1340479483903368744, depth : 7, score : 408
index : 3997, hash : 10767274704553748997, depth : 6, score : 393
index : 1588, hash : 2923135745651806588, depth : 7, score : 410
index : 3854, hash : 13037636858578353854, depth : 7, score : 460
index : 1719, hash : 18352624160554801719, depth : 7, score : 531
index : 1112, hash : 3346046363587486112, depth : 7, score : 542
index : 3070, hash : 7776203020009633070, depth : 8, score : 591
